"name","description","longitude","latitude","address"
"Yockenthwaite Pot",,"-2.15322","54.21208","Yockenthwaite Pot, Deepdale Bridge, Buckden, England, BD23 5JJ, United Kingdom"
"Dowkabottom Cave",,"-2.07541","54.11594","Douky Bottom Cave, Out Gang Lane, England, BD23 5QA, United Kingdom"
"Sleets Gill Cave",,"-2.06359","54.11923","Sleets Gill Cave, Sleets Gill Bridge, England, BD23 5PU, United Kingdom"
"Cherry Tree Hole",,"-2.18263","54.12877","Cherry Tree Hole, Brootes Lane, England, BD24 9PY, United Kingdom"
"Robinsons' Pot",,"-2.15645","54.131","Robinson's Pot, Brootes Lane, England, BD24 9PY, United Kingdom"
"Bown Scar",,"-2.1258","54.14546","Bown Scar Cave, Brootes Lane, Arncliffe, England, BD23 5QH, United Kingdom"
"Scoska Cave",,"-2.13123","54.14762","Scoska Cave, Brootes Lane, Arncliffe, England, BD23 5QH, United Kingdom"
"Spittle Croft Cave",,"-2.15368","54.1634","Spittle Croft, England, United Kingdom"
"Out Sleets Beck Pot",,"-2.20359","54.15886","Dawson Close, United Kingdom"
"Snatcher Pot",,"-2.20806","54.16391","Upper Hesleden, Silverdale Road, England, BD23 5QR, United Kingdom"
"Swan Dike Pot",,"-2.19998","54.16516","Swan Dike, United Kingdom"
"Mongo Gill (South Entrance)",,"-1.85492","54.06458","South Entrance (Mongo Gill Hole), Hebden Road, Harrogate, England, HG3 5JL, United Kingdom"
"Mongo Gill (North Shaft)",,"-1.85443","54.06503","South Entrance (Mongo Gill Hole), Hebden Road, Harrogate, England, HG3 5JL, United Kingdom"
"Stump Cross Caverns",,"-1.86532","54.06741","Stump Cross Caverns, Hebden Road, Harrogate, England, HG3 5JL, United Kingdom"
"Manchester Hole",,"-1.84821","54.18326","Manchester Hole, Waterboard Road, England, HG3 5SN, United Kingdom"
"Goyden Pot",,"-1.84861","54.18074","Goydon Pot, Waterboard Road, England, HG3 5SN, United Kingdom"
"Limley Pot",,"-1.84757","54.17967","Thrope Lane, England, HG3 5SN, United Kingdom"
"Frog Pot",,"-1.8461","54.17645","Thrope Lane, England, HG3 5SN, United Kingdom"
"Bax Pot",,"-1.8485","54.18119","Goydon Pot, Waterboard Road, England, HG3 5SN, United Kingdom"
"Thrope Edge Pot",,"-1.84598","54.1742","Waterboard Road, England, HG3 5SN, United Kingdom"
"Church Pot",,"-1.84891","54.17992","Waterboard Road, England, HG3 5SN, United Kingdom"
"Nidd Head Rising 1",,"-1.84071","54.15425","Nidd Heads, Trapping Hill, Lofthouse, England, HG3 5SE, United Kingdom"
"Tom Taylors Cave",,"-1.85786","54.15749","Cst Hole, Tom Taylor's Tunnel, Lofthouse, England, HG3 5SF, United Kingdom"
"Eglins Hole",,"-1.85833","54.15759","Cst Hole, Tom Taylor's Tunnel, Lofthouse, England, HG3 5SF, United Kingdom"
"Scrafton Pot",,"-1.8887","54.24848","Methodist Chapel, High Lane, West Scrafton, England, DL8 4RT, United Kingdom"
"Fossdale Beck Cave",,"-2.21153","54.3553","Fossdale Gill, DL8 3LY, United Kingdom"
"Keld Heads Cave",,"-1.88543","54.32038","Bella Gill Beck, DL8 4AG, United Kingdom"
"Thackthwaite Beck Cave",,"-2.02072","54.31594","Blue Scar, DL8 3LA, United Kingdom"
"Whirley Gill Pot",,"-2.0438","54.3375","Whirley Gill, United Kingdom"
"Cliffe Force Cave",,"-2.19309","54.35982","Cliff Gate Road, England, DL11 6DU, United Kingdom"
"Crackpot Cave",,"-2.05613","54.35457","Summer Lodge, England, DL11 6NP, United Kingdom"
"Devis Hole Mine",,"-1.92226","54.35995","Lemon Gill, DL11 6HS, United Kingdom"
"Windegg Mine Caverns",,"-1.98223","54.44266","Alcock Hush, DL11 6HB, United Kingdom"
"Marble Sink",,"-2.36997","54.15202","Marble Sink, Clapham Lane, England, LA2 8EE, United Kingdom"
"Jockey Hole",,"-2.36776","54.15192","Jockey Hole, Clapham Lane, England, LA2 8EE, United Kingdom"
"VJ Pot",,"-2.37017","54.1518","Marble Sink, Clapham Lane, England, LA2 8EE, United Kingdom"
"Rift Pot (Allotment)",,"-2.36759","54.15139","Rift Pot, Clapham Lane, England, LA2 8EE, United Kingdom"
"Little Rift",,"-2.36773","54.15176","Jockey Hole, Clapham Lane, England, LA2 8EE, United Kingdom"
"Long Kin East Cave",,"-2.36523","54.15295","Long Kin East Cave, Clapham Lane, England, LA2 8EE, United Kingdom"
"Juniper Gulf",,"-2.36022","54.1553","Juniper Gulf, Clapham Lane, England, LA2 8EE, United Kingdom"
"Nick Pot",,"-2.35335","54.15901","Nick Pot, Clapham Lane, Horton in Ribblesdale, England, LA2 8DJ, United Kingdom"
"Hangmans Hole",,"-2.35294","54.15898","Nick Pot, Clapham Lane, Horton in Ribblesdale, England, LA2 8DJ, United Kingdom"
"Sulber Pot",,"-2.35139","54.15884","Nick Pot, Clapham Lane, Horton in Ribblesdale, England, LA2 8DJ, United Kingdom"
"Marble Pot",,"-2.37088","54.15221","Marble Pot, Clapham Lane, England, LA2 8EE, United Kingdom"
"Lizard Pot",,"-2.36621","54.14943","Long Kin East Pot, Clapham Lane, England, LA2 8EE, United Kingdom"
"Austwick Beck Head",,"-2.34387","54.14222","Austwick Beck Head, Moughton Lane, England, LA2 8DJ, United Kingdom"
"Grey Wife Hole",,"-2.39817","54.14504","Grey Wife Hole, Old Road, Ingleton, England, LA2 8HY, United Kingdom"
"Long Kin West",,"-2.41325","54.14697","Long Kin West, Old Road, Ingleton, England, LA2 8HY, United Kingdom"
"Newby Moss Pot",,"-2.40245","54.1459","Newby Moss Pot, Old Road, Ingleton, England, LA2 8HY, United Kingdom"
"Pillar Holse",,"-2.41092","54.14663","Long Kin West, Old Road, Ingleton, England, LA2 8HY, United Kingdom"
"Boggarts Roaring Holes",,"-2.41714","54.15074","Dowlass Moss, LA6 3AN, United Kingdom"
"Quaking Pot",,"-2.41417","54.16125","Lead Mine Moss, LA6 3AN, United Kingdom"
"Skirwith Cave",,"-2.44628","54.15878","Hawes Road, Ingleton, England, LA6 3JA, United Kingdom"
"Tatham Wife Hole",,"-2.41233","54.16749","Tatham Wife Hole, God's Bridge, Ingleton, England, LA6 3JG, United Kingdom"
"Trapdoor Pot",,"-2.41908","54.14963","Dowlass Moss, LA6 3AN, United Kingdom"
"White Scar Cave",,"-2.44134","54.16564","White Scar Cave, Fell Lane, Ingleton, England, LA6 3AW, United Kingdom"
"Jib Tunnel (Dihedral)",,"-2.38271","54.14963","Gaping Gill, Clapham Lane, England, LA2 8EE, United Kingdom"
"Corkys Pot",,"-2.38018","54.14929","Gaping Gill, Clapham Lane, England, LA2 8EE, United Kingdom"
"Car Pot",,"-2.37592","54.14763","Small Mammal Pot, Long Lane, England, LA2 8EE, United Kingdom"
"Christmas Pot",,"-2.37308","54.14941","Marble Pot, Clapham Lane, England, LA2 8EE, United Kingdom"
"Jean Pot",,"-2.37488","54.148","Small Mammal Pot, Long Lane, England, LA2 8EE, United Kingdom"
"P5 Pot",,"-2.37141","54.14922","Marble Sink, Clapham Lane, England, LA2 8EE, United Kingdom"
"Pay Sank",,"-2.37155","54.14936","Marble Pot, Clapham Lane, England, LA2 8EE, United Kingdom"
"Grange Rigg Pot",,"-2.37674","54.14951","Gaping Gill, Clapham Lane, England, LA2 8EE, United Kingdom"
"Hurnel Moss Pot",,"-2.39181","54.14684","Hurnel Moss Pot, Clapdale Lane, England, LA2 8EE, United Kingdom"
"Alum Pot","Description générale Alum Pot (NW and SE Routes):

NW route: 
The entirety of the shaft is descended with one hang, commencing at the north-west (NW) end (nearest to Long Churn caves).

SE Route:
Belay the rope to a tree a few metres from the ruined stile on the SE side of the shaft (as seen on approach from the cars). 
Then traverse along the edge to another tree overhanging the shaft which is the take-off point. 
A rebelay several metres down provides a clearer descent. 
From the landing point, a few direct routes of descent of the second part of the shaft are possible, or you can traverse along to reach the bottom of a huge sloping slab (The Bridge) to intercept the end of the traverse route coming from Dollytubs (on left at top of slab).

ALL ROUTES: 
At the bottom of all routes (SE, NW or from Dolly Tubs), a further downward pitch reaches a large passage which can be followed downstream. 
A final awkward climb down a waterfall can be bypassed via a slot down through blocks on the left leading into a descending rift. 
At the bottom, the water of Diccan Pot crashes down and flows straight down into a sump.
This is a draughty and impressive place","-2.34638","54.17543","Alum Pot, Selside Shaw Old Lane, Settle, England, BD24 0JA, United Kingdom"
"Lower Long Churn (1)",,"-2.34845","54.17638","Lower Long Churn Cave, Selside Shaw Old Lane, Settle, England, BD24 0JA, United Kingdom"
"November Hole",,"-2.35171","54.17556","Upper Long Churn Cave, Selside Shaw Old Lane, Settle, England, BD24 0JA, United Kingdom"
"Wilsons Cave (1)",,"-2.34994","54.17675","Wilson's Cave, Selside Shaw Old Lane, Settle, England, BD24 0JA, United Kingdom"
"Diccan Pot",,"-2.34752","54.17637","Diccan Pot, Selside Shaw Old Lane, Settle, England, BD24 0JA, United Kingdom"
"Borrins Moor (Main Entrance)",,"-2.35377","54.17421","Borrins Moor Cave, Selside Shaw Old Lane, Horton in Ribblesdale, England, BD24 0JA, United Kingdom"
"Dale Head Pot",,"-2.24508","54.1416","Dale Head, Silverdale Road, Stainforth, England, BD24 9PN, United Kingdom"
"Gingling Hole",,"-2.22314","54.12726","Gingling Hole, Silverdale Road, England, BD24 9PW, United Kingdom"
